label1,label2,label3,label4
0,0,0,0
0,0,0,1
0,0,0,2
0,0,0,3
0,0,1,4
0,0,1,5
0,0,1,6
0,0,1,7
0,0,2,8
0,0,2,9
0,0,2,10
0,0,2,11
0,0,2,12
0,0,3,13
0,0,3,14
0,0,3,15
0,0,3,16
0,0,4,17
0,0,4,18
0,0,4,19
0,0,5,20
0,0,5,21
0,0,5,22
0,0,6,23
0,0,6,24
0,0,6,25
0,0,6,26
0,0,6,27
0,0,6,28
0,0,7,29
0,0,7,30
0,0,7,31
0,0,8,32
0,0,8,33
0,0,8,34
0,1,10,35
0,1,10,36
0,1,10,37
0,1,10,38
0,1,10,39
0,1,11,40
0,1,11,41
0,1,11,42
0,1,11,43
0,1,11,44
0,1,11,45
0,1,11,46
0,1,12,47
0,1,12,48
0,1,12,49
0,1,12,50
0,1,12,51
0,1,12,52
0,2,13,53
0,2,13,54
0,2,13,55
0,2,13,56
0,2,13,57
0,2,14,58
0,2,14,59
0,2,14,60
0,2,14,61
0,2,14,62
0,2,14,63
0,2,14,64
0,2,14,65
0,2,14,66
0,2,14,67
0,3,15,68
0,3,15,69
0,3,15,70
0,3,15,71
0,3,15,72
0,3,15,73
0,4,16,74
0,4,16,75
0,4,17,76
0,4,17,77
0,4,17,78
0,4,17,79
0,4,17,80
0,4,17,81
0,4,17,82
0,4,17,83
0,4,17,84
0,4,17,85
0,4,18,86
0,4,18,87
0,4,18,88
0,4,18,89
0,4,18,90
0,4,18,91
0,4,18,92
0,4,18,93
0,4,18,94
0,4,19,95
0,4,19,96
0,4,19,97
0,4,19,98
0,4,19,99
0,4,19,100
0,4,19,101
0,4,19,102
0,4,19,103
0,4,20,104
0,4,20,105
0,4,20,106
0,4,20,107
0,4,20,108
0,4,20,109
0,5,21,110
0,5,21,111
0,5,21,112
0,5,21,113
0,5,21,114
0,5,21,115
0,6,22,116
0,6,22,117
0,6,22,118
0,6,22,119
0,6,22,120
0,6,22,121
0,6,22,122
0,6,22,123
0,6,22,124
0,6,23,125
0,6,23,126
0,6,23,127
0,6,23,128
0,6,23,129
0,6,23,130
1,7,24,131
1,7,24,132
1,7,24,133
1,7,24,134
1,7,24,135
1,7,24,136
1,7,24,137
1,7,25,138
1,7,25,139
1,7,25,140
1,7,25,141
1,7,25,142
1,7,25,143
1,7,25,144
1,7,25,145
1,7,26,146
1,7,26,147
1,7,26,148
1,7,26,149
1,7,26,150
1,7,26,151
1,7,26,152
1,7,26,153
1,7,26,154
1,7,26,155
1,7,26,156
1,7,26,157
1,7,26,158
1,7,26,159
1,8,27,160
1,8,27,161
1,8,27,162
1,8,27,163
1,8,27,164
1,8,28,165
1,8,28,166
1,8,28,167
1,8,28,168
1,8,28,169
1,8,28,170
1,8,28,171
1,8,29,172
1,8,29,173
1,8,29,174
1,8,29,175
1,8,29,176
1,8,29,177
1,8,29,178
1,8,29,179
1,8,29,180
1,8,29,181
1,8,29,182
1,8,29,183
1,8,29,184
1,8,29,185
1,8,30,186
1,8,30,187
1,9,31,188
1,9,31,189
1,9,31,190
1,9,31,191
1,9,31,192
1,9,32,193
1,9,32,194
1,9,32,195
1,9,32,196
1,9,32,197
1,9,32,198
1,9,32,199
1,9,32,200
1,9,32,201
1,9,32,202
1,9,32,203
1,9,32,204
1,9,32,205
1,9,32,206
1,9,33,207
1,9,33,208
1,9,33,209
1,9,33,210
1,9,33,211
1,9,33,212
1,9,33,213
1,9,33,214
1,9,33,215
1,9,33,216
1,10,34,217
1,10,34,218
1,10,34,219
1,10,34,220
1,10,34,221
1,10,35,222
1,10,35,223
1,10,35,224
1,10,35,225
1,10,35,226
1,11,36,227
1,11,36,228
1,11,36,229
1,11,36,230
1,11,37,231
1,11,37,232
1,11,37,233
1,11,37,234
1,11,37,235
1,11,38,236
1,11,38,237
1,11,38,238
1,11,38,239
1,11,38,240
1,11,39,241
1,11,39,242
1,11,39,243
2,12,40,244
2,12,41,245
2,12,41,246
2,12,41,247
2,12,41,248
2,12,41,249
2,12,41,250
2,12,41,251
2,12,41,252
2,12,41,253
2,12,41,254
2,12,41,255
2,12,41,256
2,12,41,257
2,13,42,258
2,13,42,259
2,13,42,260
2,13,42,261
2,13,42,262
2,13,43,263
2,13,43,264
2,13,43,265
2,13,43,266
2,13,43,267
2,13,43,268
2,13,43,269
2,13,43,270
2,13,43,271
2,13,43,272
2,13,43,273
2,13,43,274
2,13,43,275
2,13,43,276
2,13,43,277
2,13,43,278
2,13,43,279
2,13,43,280
2,13,43,281
2,13,43,282
2,13,43,283
2,13,43,284
2,13,43,285
2,13,43,286
2,13,43,287
2,13,44,288
2,13,44,289
2,13,44,290
2,13,45,291
2,13,45,292
2,13,45,293
2,13,45,294
2,13,45,295
2,14,46,296
2,14,46,297
2,14,46,298
2,14,46,299
2,14,46,300
2,14,47,301
2,14,47,302
2,14,47,303
2,14,47,304
2,14,47,305
2,14,47,306
2,14,47,307
2,14,47,308
2,14,47,309
2,14,47,310
